hospital_id,hospital_name,city_or_area,stroke_ready,cardiac_ready,trauma_ready,respiratory_ready,general_emergency,has_icu,has_ventilator,has_operation_theatre,has_ct_scan,has_cath_lab,icu_beds_available,general_beds_available,ventilators_available,er_wait_minutes,hospital_load_percent,specialist_on_duty
H051,NeuroCare Plus,Zone A,1,0,0,0,1,1,1,1,1,0,3,17,2,8,57,1
H052,HeartAid Hospital,Zone C,0,1,0,0,1,1,1,1,0,1,4,22,2,6,49,1
H053,Emergency Trauma Hub,Zone B,0,0,1,0,1,1,1,1,1,0,5,18,3,7,53,1
H054,BreathWell Clinic,Zone D,0,0,0,1,1,1,1,0,0,0,2,9,3,19,84,1
H055,Central Multispeciality,Zone C,1,1,1,1,1,1,1,1,1,1,7,28,6,5,41,1
H056,Spectrum Hospital,Zone A,1,1,0,0,1,1,1,1,1,1,3,16,2,9,60,1
H057,HeartCare Institute,Zone C,0,1,0,0,1,1,1,1,0,1,4,18,2,8,58,1
H058,Trauma Emergency Center,Zone B,0,0,1,0,1,1,1,1,1,0,6,23,3,6,47,1
H059,Oxygen Support Hospital,Zone D,0,0,0,1,1,1,1,0,0,0,2,14,3,17,81,1
H060,Regional General Hospital,Zone B,0,0,0,1,1,1,1,0,0,0,1,26,5,12,68,1
H061,NeuroAid Plus,Zone A,1,0,0,0,1,1,1,1,1,0,3,12,2,9,62,1
H062,Advanced Heart Center,Zone C,0,1,0,0,1,1,1,1,0,1,5,20,2,7,55,1
H063,Highway Trauma Care,Zone B,0,0,1,0,1,1,1,1,1,0,4,19,3,8,60,1
H064,RespiraLife Clinic,Zone D,0,0,0,1,1,1,1,0,0,0,2,11,3,18,83,1
H065,Mega Multicare Hospital,Zone C,1,1,1,1,1,1,1,1,1,1,9,32,7,4,36,1
H066,Sai Care Hospital,Zone A,0,1,0,0,1,1,1,1,0,1,3,14,2,10,67,1
H067,Global Care Center,Zone C,1,1,1,1,1,1,1,1,1,1,8,27,6,5,44,1
H068,Emergency Relief Hospital,Zone B,0,0,1,0,1,1,1,1,1,0,5,16,3,9,63,1
H069,OxyPlus Hospital,Zone D,0,0,0,1,1,1,1,0,0,0,2,13,3,16,79,1
H070,Public Care Hospital,Zone B,0,0,0,1,1,1,1,0,0,0,1,21,4,13,72,1
H071,BrainCare Plus,Zone A,1,0,0,0,1,1,1,1,1,0,4,15,2,8,59,1
H072,HeartBeat Plus,Zone C,0,1,0,0,1,1,1,1,0,1,3,18,2,7,57,1
H073,City Trauma Care,Zone B,0,0,1,0,1,1,1,1,1,0,6,20,3,6,50,1
H074,AirFlow Plus,Zone D,0,0,0,1,1,1,1,0,0,0,2,10,3,19,82,1
H075,National Multicare Hospital,Zone C,1,1,1,1,1,1,1,1,1,1,10,38,8,3,31,1
H076,Shivam Care Hospital,Zone A,1,0,0,0,1,1,1,1,1,0,3,13,2,9,60,1
H077,CardioLife Plus,Zone C,0,1,0,0,1,1,1,1,0,1,4,22,2,6,48,1
H078,Road Care Trauma,Zone B,0,0,1,0,1,1,1,1,1,0,5,17,3,7,54,1
H079,Lung Support Plus,Zone D,0,0,0,1,1,1,1,0,0,0,2,12,3,18,80,1
H080,Urban Health Plus,Zone B,0,0,0,1,1,1,1,0,0,0,1,23,4,14,73,1
H081,NeuroCare Elite,Zone A,1,0,0,0,1,1,1,1,1,0,4,16,2,8,58,1
H082,HeartAid Elite,Zone C,0,1,0,0,1,1,1,1,0,1,5,21,2,7,56,1
H083,Emergency Trauma Elite,Zone B,0,0,1,0,1,1,1,1,1,0,6,19,3,6,49,1
H084,BreathWell Elite,Zone D,0,0,0,1,1,1,1,0,0,0,2,11,3,19,83,1
H085,Central Care Elite,Zone C,1,1,1,1,1,1,1,1,1,1,9,34,7,4,37,1
H086,Spectrum Care Hospital,Zone A,1,1,0,0,1,1,1,1,1,1,3,18,2,9,61,1
H087,HeartCare Elite,Zone C,0,1,0,0,1,1,1,1,0,1,4,20,2,8,59,1
H088,Trauma Emergency Elite,Zone B,0,0,1,0,1,1,1,1,1,0,5,22,3,7,52,1
H089,Oxygen Support Elite,Zone D,0,0,0,1,1,1,1,0,0,0,2,14,3,17,81,1
H090,Regional Care Hospital,Zone B,0,0,0,1,1,1,1,0,0,0,1,25,5,12,69,1
H091,NeuroAid Elite,Zone A,1,0,0,0,1,1,1,1,1,0,4,15,2,8,60,1
H092,Advanced Heart Elite,Zone C,0,1,0,0,1,1,1,1,0,1,5,19,2,7,55,1
H093,Highway Trauma Elite,Zone B,0,0,1,0,1,1,1,1,1,0,6,18,3,8,62,1
H094,RespiraLife Elite,Zone D,0,0,0,1,1,1,1,0,0,0,2,12,3,18,82,1
H095,Mega Multicare Elite,Zone C,1,1,1,1,1,1,1,1,1,1,10,36,8,3,34,1
H096,Sai Care Elite,Zone A,0,1,0,0,1,1,1,1,0,1,3,17,2,10,66,1
H097,Global Care Elite,Zone C,1,1,1,1,1,1,1,1,1,1,8,29,6,5,45,1
H098,Emergency Relief Elite,Zone B,0,0,1,0,1,1,1,1,1,0,5,16,3,9,63,1
H099,OxyPlus Elite,Zone D,0,0,0,1,1,1,1,0,0,0,2,13,3,17,79,1
H100,Public Care Elite,Zone B,0,0,0,1,1,1,1,0,0,0,1,24,4,13,71,1
